防迷路,#genre#
CCTV-11-50-FPS,http://139.196.228.200:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11-HEVC,http://139.196.228.200:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
cctv12-高码,http://139.196.228.200:35455/ysptp/cctv12.m3u8
CCTV-12,http://139.196.228.200:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12-50-FPS,http://139.196.228.200:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12-HEVC,http://139.196.228.200:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
cctv13-高码,http://139.196.228.200:35455/ysptp/cctv13.m3u8
CCTV-13-50-FPS,http://139.196.228.200:35455/itv/5000000011000031108.m3u8?cdn=bestzb
cctv14-高码,http://139.196.228.200:35455/ysptp/cctv14.m3u8
CCTV-14,http://139.196.228.200:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14-50-FPS,http://139.196.228.200:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14-HEVC,http://139.196.228.200:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
cctv15-高码,http://139.196.228.200:35455/ysptp/cctv15.m3u8
CCTV-15-50-FPS,http://139.196.228.200:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15-HEVC,http://139.196.228.200:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
cctv16-高码,http://139.196.228.200:35455/ysptp/cctv16.m3u8
CCTV-16,http://139.196.228.200:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
cctv17-高码,http://139.196.228.200:35455/ysptp/cctv17.m3u8
CCTV-17,http://139.196.228.200:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17-HEVC,http://139.196.228.200:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
世界地理,http://139.196.228.200:35455/tptv/G_SHIJIEDL-CQ.m3u8
风云剧场,http://139.196.228.200:35455/tptv/G_FENGYUNJC-CQ.m3u8
风云足球,http://139.196.228.200:35455/tptv/G_FENGSHANGZQ-CQ.m3u8
风云音乐,http://139.196.228.200:35455/tptv/G_FENGYUNYY-CQ.m3u8
兵器科技,http://139.196.228.200:35455/tptv/G_BINGQIKJ-CQ.m3u8
央视台球,http://139.196.228.200:35455/tptv/G_TAIQIU-CQ.m3u8
高尔夫网球,http://139.196.228.200:35455/tptv/G_CCTV-GOLF-CQ.m3u8
女性时尚,http://139.196.228.200:35455/tptv/G_NVXINGSS-CQ.m3u8
电视指南,http://139.196.228.200:35455/tptv/G_DIANSHIZN-CQ.m3u8
第一剧场,http://139.196.228.200:35455/tptv/G_DIYIJC-CQ.m3u8
怀旧剧场,http://139.196.228.200:35455/tptv/G_HUAIJIUJC-CQ.m3u8
央视文化精品,http://139.196.228.200:35455/tptv/G_CCTV-WENHUA-CQ.m3u8
CGTN,http://139.196.228.200:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN-记录,http://139.196.228.200:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
cgtnar-高码,http://139.196.228.200:35455/ysptp/cgtnar.m3u8
cgtndoc-高码,http://139.196.228.200:35455/ysptp/cgtndoc.m3u8
cgtnen-高码,http://139.196.228.200:35455/ysptp/cgtnen.m3u8
cgtnfr-高码,http://139.196.228.200:35455/ysptp/cgtnfr.m3u8
cgtnru-高码,http://139.196.228.200:35455/ysptp/cgtnru.m3u8
cgtnsp-高码,http://139.196.228.200:35455/ysptp/cgtnsp.m3u8



卫視,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
山东教育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
健康有约,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精彩搏击,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
中国教育电视台-1,http://139.196.228.200:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://139.196.228.200:35455/itv/5000000011000031126.m3u8?cdn=bestzb
北京卫视,http://139.196.228.200:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://139.196.228.200:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教-HEVC,http://139.196.228.200:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://139.196.228.200:35455/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://139.196.228.200:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://139.196.228.200:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://139.196.228.200:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://139.196.228.200:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://139.196.228.200:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://139.196.228.200:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://139.196.228.200:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://139.196.228.200:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://139.196.228.200:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://139.196.228.200:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://139.196.228.200:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://139.196.228.200:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://139.196.228.200:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://139.196.228.200:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://139.196.228.200:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://139.196.228.200:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://139.196.228.200:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://139.196.228.200:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://139.196.228.200:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://139.196.228.200:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://139.196.228.200:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
上海东方卫视,http://139.196.228.200:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
上海东方卫视-50-FPS,http://139.196.228.200:35455/itv/5000000004000014098.m3u8?cdn=bestzb
上海东方卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://139.196.228.200:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://139.196.228.200:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://139.196.228.200:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://139.196.228.200:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://139.196.228.200:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://139.196.228.200:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://139.196.228.200:35455/itv/5000000011000031123.m3u8?cdn=bestzb
上海纪实人文-50-FPS,http://139.196.228.200:35455/itv/5000000004000010282.m3u8?cdn=bestzb
上海纪实人文-HEVC,http://139.196.228.200:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
上海五星体育,http://139.196.228.200:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://139.196.228.200:35455/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://139.196.228.200:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://139.196.228.200:35455/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://139.196.228.200:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视-50-FPS,http://139.196.228.200:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视-HEVC,http://139.196.228.200:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
